sitetype,zcta5ce10,month,year,trip,cost,income,temp_avg,mdays
ADA STANDARD,83501,6,2023,1,530.84381,65202,63,2
ADA STANDARD,83617,7,2023,1,470.76819,64554,65.400002,4
ADA STANDARD,83651,8,2021,1,425.37048,57906,67.900002,4
ADA STANDARD,83661,5,2021,1,316.88757,52188,55.700001,1
ADA STANDARD,83705,9,2018,1,404.40741,46045,67.400002,5
ADA STANDARD,95973,7,2022,1,439.57834,87667,67.300003,1
ADA STANDARD,97002,7,2020,1,107.61066,73462,64.099998,5
ADA STANDARD,97002,7,2022,1,88.119736,62477,66.5,5
ADA STANDARD,97006,7,2023,1,113.71237,99662,65.800003,9
ADA STANDARD,97007,7,2021,1,123.94904,104306,67.099998,6
ADA STANDARD,97013,4,2022,1,107.91714,92350,54.099998,2
ADA STANDARD,97015,6,2019,1,224.60185,78106,71.300003,7
ADA STANDARD,97024,5,2019,1,102.94971,62327,86.099998,2
ADA STANDARD,97024,7,2021,1,123.82751,64287,65.300003,2
ADA STANDARD,97030,2,2022,1,113.61845,61285,50.099998,4
ADA STANDARD,97030,3,2023,1,106.81344,61285,55.400002,5
ADA STANDARD,97030,4,2023,1,130.29546,61285,55.400002,7
ADA STANDARD,97030,7,2022,1,102.2841,61285,68.699997,4
ADA STANDARD,97030,8,2018,1,119.53621,50318,66.400002,3
ADA STANDARD,97031,8,2022,1,190.9104,83791,68.5,3
ADA STANDARD,97032,2,2023,1,110.83867,92250,57.299999,4
ADA STANDARD,97045,5,2023,1,133.85849,94337,60.299999,4
ADA STANDARD,97045,7,2020,1,150.13452,83254,69.099998,2
ADA STANDARD,97045,7,2021,1,124.1284,87783,67.400002,2
ADA STANDARD,97045,10,2020,1,133.08188,83254,57,3
ADA STANDARD,97058,8,2020,1,130.12256,54133,71.599998,1
ADA STANDARD,97070,9,2018,1,247.67508,69842,62.099998,10
ADA STANDARD,97071,4,2021,1,156.98021,56000,62.299999,5
ADA STANDARD,97080,9,2018,1,137.68922,72917,63,1
ADA STANDARD,97080,11,2021,1,139.37859,81881,55.299999,2
ADA STANDARD,97086,5,2019,1,194.29912,94031,64.400002,4
ADA STANDARD,97086,7,2018,1,128.92189,89852,70.5,2
ADA STANDARD,97113,3,2021,1,102.65282,77388,55,2
ADA STANDARD,97113,7,2018,1,148.59331,63689,68.900002,4
ADA STANDARD,97113,9,2022,1,120.45357,85644,66.300003,2
ADA STANDARD,97115,1,2021,1,130.33156,95385,48.5,2
ADA STANDARD,97115,2,2022,1,119.61802,103092,45.099998,1
ADA STANDARD,97115,3,2021,1,126.33156,95385,55.299999,2
ADA STANDARD,97115,5,2021,1,112.26775,95385,68.300003,1
ADA STANDARD,97115,7,2020,1,83.643936,81747,68.199997,2
ADA STANDARD,97123,4,2023,1,105.14307,100745,52.799999,3
ADA STANDARD,97123,6,2020,1,126.32906,84052,66.800003,5
ADA STANDARD,97123,7,2018,1,96.790855,74211,71.400002,4
ADA STANDARD,97123,8,2019,1,124.5331,81774,69.800003,7
ADA STANDARD,97123,8,2021,1,132.77101,89492,64.400002,9
ADA STANDARD,97127,7,2021,1,112.59283,84159,68.099998,3
ADA STANDARD,97128,6,2022,1,77.029335,67176,68.5,3
ADA STANDARD,97128,8,2020,1,62.277775,54983,67,1
ADA STANDARD,97131,6,2021,1,81.75489,60479,65.5,2
ADA STANDARD,97132,8,2018,1,80.866699,63750,65.099998,2
ADA STANDARD,97132,10,2021,1,126.04382,86019,64.300003,2
ADA STANDARD,97140,6,2018,1,100.35729,105388,67.800003,3
ADA STANDARD,97140,7,2019,1,143.94395,106855,64.5,5
ADA STANDARD,97140,8,2019,1,144.27798,106855,73.699997,2
ADA STANDARD,97140,8,2020,1,131.20998,108865,71.099998,2
ADA STANDARD,97140,9,2021,1,117.10642,114028,80.300003,1
ADA STANDARD,97146,5,2022,1,135.42615,81449,56.5,4
ADA STANDARD,97146,9,2021,1,170.95164,77979,62.599998,1
ADA STANDARD,97146,10,2018,2,188.32603,57806,67.8999995,6
ADA STANDARD,97218,7,2020,1,103.77585,67436,67.400002,4
ADA STANDARD,97219,5,2018,1,112.73425,97454,63.599998,3
ADA STANDARD,97222,9,2022,1,164.61649,75434,62.799999,3
ADA STANDARD,97223,5,2022,1,175.57069,104463,55.5,3
ADA STANDARD,97223,8,2022,1,133.66942,104463,70,2
ADA STANDARD,97224,1,2021,1,116.44684,83604,53.400002,3
ADA STANDARD,97224,3,2018,1,155.94696,74498,49.400002,4
ADA STANDARD,97224,11,2018,1,133.90839,74498,50.299999,1
ADA STANDARD,97230,3,2022,1,114.34396,68224,59.799999,2
ADA STANDARD,97233,8,2022,1,104.24899,52441,68.5,2
ADA STANDARD,97236,5,2021,1,101.62918,58093,57.200001,2
ADA STANDARD,97236,5,2022,1,119.24715,67874,56.099998,2
ADA STANDARD,97236,6,2023,1,147.27263,67874,65.699997,2
ADA STANDARD,97236,8,2019,1,107.06203,50663,72.699997,2
ADA STANDARD,97236,9,2019,1,100.18723,50663,71.300003,4
ADA STANDARD,97236,9,2020,1,109.37215,52428,62.299999,2
ADA STANDARD,97236,9,2022,1,130.14673,67874,62.799999,2
ADA STANDARD,97236,9,2023,1,118.73537,67874,73.400002,2
ADA STANDARD,97266,8,2020,1,96.130516,59062,70.400002,10
ADA STANDARD,97266,8,2022,1,112.46413,67350,60.599998,7
ADA STANDARD,97266,8,2023,1,110.0727,67350,67.400002,4
ADA STANDARD,97267,11,2021,1,156.84976,73575,56.799999,3
ADA STANDARD,97301,3,2019,1,71.306908,43841,55.400002,10
ADA STANDARD,97301,3,2020,1,85.706459,45959,55.099998,3
ADA STANDARD,97301,3,2021,1,52.500916,48149,56.200001,2
ADA STANDARD,97301,6,2019,1,59.340584,43841,63.400002,4
ADA STANDARD,97301,9,2022,1,146.43398,53113,70.599998,4
ADA STANDARD,97302,7,2021,1,74.750908,73993,68.599998,1
ADA STANDARD,97302,8,2023,1,171.06819,80439,73.699997,10
ADA STANDARD,97303,4,2023,1,85.006805,75863,53.299999,2
ADA STANDARD,97303,6,2019,1,114.88887,64587,64,6
ADA STANDARD,97303,6,2020,1,127.67769,64369,57.599998,7
ADA STANDARD,97303,7,2021,1,98.90731,68100,68.699997,4
ADA STANDARD,97303,11,2021,1,79.80233,68100,57.700001,6
ADA STANDARD,97304,5,2018,1,104.0361,66438,60.900002,2
ADA STANDARD,97304,6,2019,1,86.361664,69945,61.299999,1
ADA STANDARD,97304,8,2020,1,69.161026,74583,68.599998,1
ADA STANDARD,97304,11,2019,1,73.99263,69945,45.200001,3
ADA STANDARD,97305,6,2021,1,97.18647,57767,66.5,4
ADA STANDARD,97305,11,2022,1,88.293755,65299,53.599998,2
ADA STANDARD,97306,11,2022,1,127.17023,83039,54.700001,2
ADA STANDARD,97317,6,2021,2,108.51156599999999,74568,75,2
ADA STANDARD,97317,12,2020,1,79.232605,70838,46.599998,4
ADA STANDARD,97321,10,2018,1,109.61472,70404,60.900002,3
ADA STANDARD,97321,10,2020,1,120.87777,76107,66.699997,3
ADA STANDARD,97321,11,2018,1,63.114716,70404,55.200001,2
ADA STANDARD,97321,12,2020,1,58.871746,76107,55,2
ADA STANDARD,97322,6,2021,1,93.442574,61285,66.400002,3
ADA STANDARD,97322,12,2020,1,59.953171,60148,48.5,7
ADA STANDARD,97325,3,2018,1,76.927856,58510,55.099998,5
ADA STANDARD,97325,8,2018,1,69.588623,58510,68,6
ADA STANDARD,97325,10,2021,1,83.628471,77742,59.799999,10
ADA STANDARD,97327,6,2021,1,79.717888,73580,60.5,3
ADA STANDARD,97333,3,2023,1,90.802895,63119,56.799999,4
ADA STANDARD,97333,7,2022,1,209.8745,63119,65.900002,4
ADA STANDARD,97333,8,2023,1,106.90173,63119,66.599998,3
ADA STANDARD,97338,2,2021,1,56.514969,66537,49.900002,2
ADA STANDARD,97338,4,2022,2,72.7751085,75417,53.599998,2
ADA STANDARD,97338,5,2018,1,61.369324,61430,54.900002,2
ADA STANDARD,97338,12,2020,1,78.045609,61745,52.299999,3
ADA STANDARD,97347,7,2020,1,38.645454,39214,67.5,3
ADA STANDARD,97352,3,2021,1,83.577621,85601,51.200001,1
ADA STANDARD,97352,6,2018,1,61.855534,65263,61.599998,2
ADA STANDARD,97355,3,2022,1,110.7646,60478,54.099998,2
ADA STANDARD,97355,7,2021,1,76.786079,57077,66.699997,3
ADA STANDARD,97355,8,2021,1,87.52729,57077,69.900002,4
ADA STANDARD,97355,8,2022,1,69.791985,60478,69.800003,4
ADA STANDARD,97355,9,2021,1,68.999336,57077,64.5,4
ADA STANDARD,97360,7,2021,1,112.41488,61736,65.300003,2
ADA STANDARD,97361,10,2022,1,66.128235,64490,63,1
ADA STANDARD,97366,10,2020,1,37.775558,70497,62.900002,3
ADA STANDARD,97367,1,2022,1,18.373655,55654,52.599998,1
ADA STANDARD,97376,1,2021,1,23.471287,62829,60.700001,3
ADA STANDARD,97378,7,2023,1,62.376106,72121,62,1
ADA STANDARD,97378,8,2018,1,48.812519,53981,58.799999,1
ADA STANDARD,97386,4,2023,1,79.442467,61428,50.5,1
ADA STANDARD,97386,7,2021,1,79.081078,56100,68,3
ADA STANDARD,97386,9,2022,1,85.936852,61428,61,2
ADA STANDARD,97394,10,2022,1,37.203999,55132,62.299999,3
ADA STANDARD,97396,2,2022,1,77.085281,49880,52.599998,2
ADA STANDARD,97401,5,2018,1,65.58519,36228,62.400002,3
ADA STANDARD,97404,9,2022,1,91.458412,77772,64.900002,2
ADA STANDARD,97424,7,2018,1,71.720383,45766,66.800003,4
ADA STANDARD,97431,1,2018,1,157.78941,53864,48.799999,4
ADA STANDARD,97431,9,2021,1,173.92082,52542,62.5,5
ADA STANDARD,97431,10,2018,1,116.73705,53864,60.599998,4
ADA STANDARD,97431,10,2019,1,117.12154,54516,61,4
ADA STANDARD,97431,10,2020,1,129.07364,55150,59.200001,5
ADA STANDARD,97435,7,2019,1,96.779747,49219,69.400002,7
ADA STANDARD,97444,6,2020,1,210.99666,56813,64.699997,4
ADA STANDARD,97446,10,2022,1,139.07054,59349,56.5,4
ADA STANDARD,97448,3,2023,1,106.83149,73168,50.299999,2
ADA STANDARD,97456,11,2019,1,84.546165,51899,61.299999,2
ADA STANDARD,97457,5,2022,1,151.082,54254,58.200001,4
ADA STANDARD,97459,8,2021,1,107.43446,64116,65.5,5
ADA STANDARD,97465,7,2019,1,99.161804,34118,65.699997,2
ADA STANDARD,97471,6,2018,1,132.39395,51003,63.099998,5
ADA STANDARD,97471,8,2018,1,143.60565,51003,84.900002,1
ADA STANDARD,97477,2,2018,1,114.89614,41493,41.299999,3
ADA STANDARD,97477,9,2022,1,117.03556,58621,65.900002,2
ADA STANDARD,97478,3,2023,1,140.61623,74334,46.200001,4
ADA STANDARD,97479,8,2018,1,164.40691,46250,69.400002,1
ADA STANDARD,97501,10,2020,1,173.70209,48865,60.400002,1
ADA STANDARD,97502,7,2022,1,234.15314,77810,68.099998,4
ADA STANDARD,97504,9,2021,1,283.00104,68854,66.099998,4
ADA STANDARD,97504,9,2022,1,242.38797,76246,64.699997,2
ADA STANDARD,97520,6,2021,1,318.27518,63777,61.400002,5
ADA STANDARD,97526,8,2023,1,175.0876,55214,71.599998,3
ADA STANDARD,97527,4,2021,1,179.93378,55348,52.099998,2
ADA STANDARD,97601,7,2019,1,184.77417,43076,68.400002,3
ADA STANDARD,97603,10,2022,1,248.98453,62328,61.5,2
ADA STANDARD,97701,4,2018,1,175.90302,65211,59.700001,2
ADA STANDARD,97701,4,2023,1,225.30826,71927,55.700001,2
ADA STANDARD,97702,8,2019,1,222.75668,69895,69.300003,1
ADA STANDARD,97702,10,2020,1,188.30978,69140,61.799999,2
